distance-to-solar-noon,temperature,wind-direction,wind-speed,sky-cover,visibility,humidity,average-wind-speed-(period),average-pressure-(period)
0.191972077,51,14,10.4,4,10,77,10,29.81
0.390207715,56,17,7.6,3,10,86,8,30.11
0.461104848,61,27,15,4,10,84,20,29.92
0.267508611,60,30,11.4,1,10,65,22,29.83
0.44,50,34,4.6,3,5,96,9,30.21
0.418685121,50,33,4.9,3,9,86,3,30.05
0.471962617,60,29,15,1,9,86,20,29.94
0.373522459,62,28,12.8,4,10,87,7,29.98
0.204152249,50,33,4.9,1,10,77,9,30.07
0.942511346,54,32,1.3,2,10,77,3,30.17
0.827225131,43,29,8.4,0,10,71,10,29.91
0.379310345,53,27,24.4,4,10,71,26,30.01
0.406143345,57,12,2.8,2,4,96,10.12915382,30.16
0.109375,51,12,4,0,5,74,3,30.4
0.738287561,51,28,5,0,10,83,7,30.09
0.144542773,52,32,5.2,3,10,64,6,30.17
0.167115903,59,28,12.7,3,10,72,7,29.98
0.553916005,62,28,10.6,2,10,80,0,29.93
0.051044084,59,27,13.7,3,10,72,17,29.96
0.440207972,47,3,3.8,4,5,93,9,30.18
0.389072848,64,9,1.2,1,6,90,3,30.13
0.646433991,64,28,4,0,10,45,13,30.07
0.134125637,61,13,5.3,0,10,46,9,30.33
0.667638484,57,19,20.8,4,10,75,26,29.89
0.936464088,58,29,8,2,10,93,10,30.23
0.653481013,62,23,8.1,3,10,90,5,29.96
0.135678392,55,14,1.9,0,10,48,6,30.26
0.357771261,61,31,14.6,0,10,35,21,29.95
0.626292467,64,28,6.4,0,10,26,13,30.2
0.350797267,61,28,12.9,3,10,78,9,29.9
0.827288428,50,27,6.6,4,10,80,8,30.06
0.46275395,62,27,11.2,3,10,70,15,29.93
0.169811321,66,27,12.6,0,9,76,3,30.01
1.110344828,49,17,3.5,4,10,90,0,30.29
0.409763314,53,27,11.1,2,10,67,22,30.18
0.365591398,64,28,10.1,3,10,90,5,30.14
0.578088578,59,26,13.1,4,10,86,11,29.93
0.814234017,71,29,9.7,0,10,84,5,29.93
0.939058172,58,28,9,2,10,93,6,30.28
0.084151473,61,30,12.3,1,10,63,20,29.9
0.195224719,52,27,11.5,2,10,77,5,30.18
1.064572426,51,14,10.4,4,10,83,9,29.88
0.734883721,55,29,9,3,7,93,0,30.15
0.351747463,65,26,8.6,1,10,72,3,29.94
0.820170109,71,29,12.5,2,10,90,5,30
0.517676768,49,28,20.5,1,10,71,28,30.13
0.071618037,61,29,11.4,1,10,68,21,29.84
0.959337349,55,14,6.9,4,10,78,15,29.92
1.037996546,50,27,6.6,2,8,86,6,30.17
0.740418118,46,21,8.9,3,10,83,7,29.75
0.504966887,64,9,1.2,2,10,49,0,30.08
0.74533107,61,13,5.3,0,10,64,8,30.3
0.426323319,64,26,14.4,4,8,90,8,29.79
1.056291391,54,32,2.7,4,8,96,7,30.07
0.429190751,65,28,10.2,3,10,96,0,30.16
0.89352518,52,28,12.6,3,10,77,14,30.14
0.064164649,56,17,8.5,4,10,72,0,29.96
0.162846803,71,29,9.7,1,9,73,5,29.95
0.998473282,69,31,4.3,0,10,58,0,30.05
1.021909233,59,16,8.6,3,10,83,3,29.93
0.207578254,69,14,5,0,10,39,3,30.08
0.799054374,62,28,12.8,4,10,87,8,29.94
0.460750853,62,27,12.9,1,10,67,13,29.91
